Team,SOS Rank,SOS Rating
Pittsburgh,85,0.8
Weber State,86,0.7
Massachusetts,87,0.6
Duquesne,88,0.6
Northwestern,89,0.5
St. John's,90,0.4
Washington,91,0.4
Colgate,92,0.4
Grambling State,93,0.4
Chattanooga,94,0.4
Hofstra,95,0.3
Princeton,96,0.3
Nicholls State,97,0.2
Eastern Washington,98,0.2
American University,99,0.2
Seattle,100,0.2
UC Irvine,101,0.1
Indiana,102,0.1
Florida State,103,0.1
North Carolina Central,104,0.0
Nebraska,105,-0.1
West Georgia,106,-0.1
LSU,107,-0.2
Western Kentucky,108,-0.2
Virginia Tech,109,-0.2
UTRGV,110,-0.2
Lafayette,111,-0.3
Iona,112,-0.3
Wofford,113,-0.3
Wichita State,114,-0.6
Coppin State,115,-0.7
Villanova,116,-0.8
Toledo,117,-0.8
Chicago State,118,-0.8
UC Davis,119,-0.9
Ole Miss,120,-0.9
San Francisco,121,-1.0
Loyola Marymount,122,-1.0
Virginia,123,-1.0
Samford,124,-1.0
Pepperdine,125,-1.1
Montana,126,-1.1
Charlotte,127,-1.1
UNLV,128,-1.1
Penn State,129,-1.2
Wagner,130,-1.2
SMU,131,-1.3
South Florida,132,-1.3
Southern Indiana,133,-1.4
Green Bay,134,-1.4
CCSU,135,-1.4
Colorado State,136,-1.5
Rider,137,-1.5
Eastern Illinois,138,-1.6
Butler Bulldogs,139,-1.6
Southern Illinois,140,-1.7
Iowa,141,-1.8
Boston College,142,-1.8
Northern Colorado,143,-1.8
Howard,144,-1.8
Cleveland State,145,-1.8
Northern Iowa,146,-1.8
Harvard,147,-1.9
Illinois-Chicago,148,-2.0
Milwaukee,149,-2.0
Austin Peay,150,-2.0
UCSD,151,-2.0
UNCW,152,-2.1
Bucknell,153,-2.1
UNC Greensboro,154,-2.1
Braves,155,-2.2
Georgia,156,-2.2
Fresno State,157,-2.2
St. Thomas,158,-2.3
James Madison,159,-2.3
Morehead State,160,-2.3
Minnesota,161,-2.3
North Dakota State,162,-2.4
Miami FL,163,-2.4
Alabama State,164,-2.4
North Dakota,165,-2.4
Cincinnati,166,-2.5
Coastal Carolina,167,-2.5
UAB,168,-2.5
Idaho State,169,-2.6
Maine,170,-2.6
Temple,171,-2.7
Elon,172,-2.7
Presbyterian Blue Hose,173,-2.7
Fordham,174,-2.8
Xavier,175,-2.8
Canisius,176,-2.9
SELA,177,-2.9
Georgia Tech,178,-3.0
Fort Wayne,179,-3.0
Dayton,180,-3.0
Seton Hall,181,-3.0
Saint Joseph's,182,-3.0
South Alabama,183,-3.1
Saint Louis,184,-3.1
Stony Brook,185,-3.1
Drexel,186,-3.1
North Alabama,187,-3.2
Georgia State,188,-3.2
Texas State,189,-3.2
USC,190,-3.3
Holy Cross,191,-3.3
Quinnipiac,192,-3.3
Northeastern,193,-3.3
Kansas State,194,-3.4
Georgetown,195,-3.4
SIUE,196,-3.4
Wright State,197,-3.5
Omaha,198,-3.5
UMKC,199,-3.5
Oklahoma State,200,-3.5
Oregon,201,-3.5
North Carolina A&T,202,-3.5
Cal Poly,203,-3.6
Little Rock,204,-3.6
Winthrop,205,-3.6
Tarleton State,206,-3.6
Missouri State,207,-3.7
Notre Dame,208,-3.7
VCU,209,-3.8
La Salle,210,-3.9
Evansville,211,-3.9
Louisiana,212,-4.0
UT Arlington,213,-4.1
Bellarmine,214,-4.1
Louisiana Tech,215,-4.1
Charleston Southern,216,-4.2
South Dakota State,217,-4.2
Lamar,218,-4.2
Bowling Green,219,-4.2
Middle Tennessee State,220,-4.2
Le Moyne,221,-4.3
Cornell,222,-4.4
Stephen F. Austin,223,-4.4
Rice,224,-4.4
Jacksonville,225,-4.4
Eastern Kentucky,226,-4.4
Sacred Heart,227,-4.5
Siena,228,-4.5
Furman,229,-4.5
Ball State,230,-4.5
Hampton,231,-4.6
Portland State,232,-4.6
Queens,233,-4.7
Belmont,234,-4.7
William & Mary,235,-4.8
Southern,236,-4.8
UT Martin,237,-4.8
Northwestern State,238,-4.8
Boston University,239,-4.8
UConn,240,-4.9
Georgia Southern,241,-4.9
Cal State Northridge,242,-4.9
Richmond,243,-4.9
Delaware,244,-4.9
Indiana State,245,-5.0
Loyola Chicago,246,-5.0
St. Bonaventure,247,-5.0
Fairfield,248,-5.3
Oral Roberts,249,-5.3
Army,250,-5.4
Portland,251,-5.4
SEMO,252,-5.5
Southern Mississippi,253,-5.5
Penn,254,-5.6
Western Illinois,255,-5.6
Rutgers,256,-5.7
Appalachian State,257,-5.7
Creighton,258,-5.7
Long Island,259,-5.8
Utah State,260,-5.9
Mercer,261,-5.9
Columbia,262,-5.9
Long Beach State,263,-5.9
Davidson,264,-5.9
Radford,265,-6.0
Alcorn State,266,-6.1
Air Force,267,-6.2
Colorado,268,-6.2
Florida International,269,-6.3
High Point,270,-6.3
USC Upstate,271,-6.3
Marist,272,-6.3
Syracuse,273,-6.3
Mount St. Mary's,274,-6.4
Northern Illinois,275,-6.4
Wyoming,276,-6.4
Navy,277,-6.4
Iowa State,278,-6.5
Buffalo,279,-6.5
Illinois,280,-6.6
Cal State Bakersfield,281,-6.6
Loyola-MD,282,-6.8
Stanford,283,-6.9
NJIT,284,-6.9
California Baptist,285,-6.9
UCSB,286,-7.0
New Orleans,287,-7.0
Illinois State,288,-7.0
Sacramento State,289,-7.0
Central Arkansas,290,-7.1
Utah Tech,291,-7.1
Fairleigh Dickinson,292,-7.1
Norfolk State,293,-7.1
Utah Valley,294,-7.2
Drake,295,-7.2
Valparaiso,296,-7.2
Niagara,297,-7.3
Texas Tech,298,-7.3
Idaho,299,-7.4
Vanderbilt,300,-7.4
NC State,301,-7.5
Jacksonville State,302,-7.5
Pacific,303,-7.5
BYU,304,-7.6
San Jose State,305,-7.7
Louisiana-Monroe,306,-7.7
Bryant,307,-7.8
Prairie View,308,-7.8
Arkansas-Pine Bluff,309,-7.8
Tulane,310,-7.9
Binghamton,311,-7.9
San Diego,312,-7.9
Tennessee Tech,313,-7.9
UTSA,314,-8.0
DePaul,315,-8.0
Denver,316,-8.2
New Hampshire,317,-8.4
Tulsa,318,-8.4
Eastern Michigan,319,-8.4
Tennessee State,320,-8.4
South Carolina State,321,-8.6
ETSU,322,-8.6
Southern Utah,323,-8.7
Manhattan,324,-8.7
New Mexico State,325,-9.0
Stetson,326,-9.1
Providence,327,-9.3
East Carolina,328,-9.3
Stonehill,329,-9.4
Detroit-Mercy,330,-9.6
Kennesaw State,331,-9.6
Campbell,332,-9.7
South Dakota,333,-9.7
Oregon State,334,-9.7
Hawaii,335,-9.8
Brown,336,-9.8
Western Michigan,337,-9.9
Western Carolina,338,-9.9
Abilene Christian,339,-10.0
Marshall,340,-10.1
Northern Arizona,341,-10.1
Albany,342,-10.2
UTEP,343,-10.2
Oklahoma,344,-10.2
Longwood,345,-10.3
Delaware State,346,-10.3
Old Dominion,347,-10.4
Robert Morris,348,-10.6
UMBC,349,-11.0
Dartmouth,350,-11.0
George Washington,351,-11.0
Rhode Island,352,-11.5
Lindenwood,353,-11.6
UMES,354,-11.9
Houston Christian,355,-11.9
IUPUI,356,-12.0
VMI,357,-12.1
Incarnate Word,358,-12.2
Mississippi Valley State,359,-12.4
Mercyhurst,360,-12.6
Citadel,361,-12.9
Miami FL,362,-13.2
Alabama A&M,363,-14.8
Morgan State,364,-16.5
