Team,RPI Rank,RPI Rating
Oral Roberts,327,0.328
Penn,328,0.315
Old Dominion,329,0.313
Eastern Michigan,330,0.313
Bowling Green,331,0.313
Brown,332,0.311
Citadel,333,0.301
Morehead State,334,0.295
UCSD,335,0.293
ETSU,336,0.292
Loyola Marymount,337,0.292
Dartmouth,338,0.288
Western Illinois,339,0.286
Niagara,340,0.267
San Diego,341,0.267
NJIT,342,0.267
Ball State,343,0.266
UMES,344,0.263
UTSA,345,0.254
New Hampshire,346,0.246
Wofford,347,0.245
Saint Louis,348,0.242
Stetson,349,0.235
Louisiana,350,0.229
Sacramento State,351,0.219
South Carolina State,352,0.198
BYU,353,--
Utah,354,--
Colorado State,355,--
Wyoming,356,--
North Dakota,357,--
Howard,358,--
Queens,359,--
Utah Valley,360,--
Western Carolina,361,--
Tennessee State,362,--
UTEP,363,--
Alabama A&M,364,--
